name,type,start_time,duration,mosi
SPI,result,2.60561204,0,0x00
SPI,result,2.60561444,9.60E-07,0x00
SPI,result,2.60561592,0,0x00
SPI,result,2.60561828,0,0x00
SPI,result,2.6056198,9.60E-07,0x00
SPI,result,2.60562216,0,0x00
SPI,result,2.60562368,9.60E-07,0x00
SPI,result,2.60562604,0,0x00
SPI,result,2.60562756,9.60E-07,0x00
SPI,result,2.60562992,0,0x00
SPI,result,2.60563144,9.60E-07,0x00
SPI,result,2.6056338,0,0x00
SPI,result,2.60563528,0,0x00
SPI,result,2.60563768,9.60E-07,0x00
SPI,result,2.60563916,0,0x00
SPI,result,2.60564156,9.60E-07,0x00
SPI,result,2.60564304,0,0x00
SPI,result,2.60564544,9.60E-07,0x00
SPI,result,2.60564692,0,0x00
SPI,result,2.60564932,9.60E-07,0x00
SPI,result,2.6056508,0,0x00
SPI,result,2.60565316,0,0x00
SPI,result,2.60565468,9.60E-07,0x00
SPI,result,2.60565704,0,0x00
SPI,result,2.60565856,9.60E-07,0x00
SPI,result,2.60566092,0,0x00
SPI,result,2.60566244,9.60E-07,0x00
SPI,result,2.6056648,0,0x00
SPI,result,2.60566632,9.60E-07,0x00
SPI,result,2.60566868,0,0x00
SPI,result,2.60567016,0,0x00
SPI,result,2.60567256,9.60E-07,0x00
SPI,result,2.60567404,0,0x00
SPI,result,2.60567644,9.60E-07,0x00
SPI,result,2.60567792,0,0x00
SPI,result,2.60568032,9.60E-07,0x00
SPI,result,2.6056818,0,0x00
SPI,result,2.60568416,0,0x00
SPI,result,2.60568568,0,0x00
SPI,result,2.60568804,0,0x00
SPI,result,2.60568956,9.60E-07,0x00
SPI,result,2.60569192,0,0x00
SPI,result,2.60569344,9.60E-07,0x00
SPI,result,2.6056958,0,0x00
SPI,result,2.60569732,9.60E-07,0x00
SPI,result,2.60569968,0,0x00
SPI,result,2.6057012,9.60E-07,0x00
SPI,result,2.60570356,9.60E-07,0x00
SPI,result,2.60570504,0,0x00
SPI,result,2.60570744,9.60E-07,0x00
SPI,result,2.60570892,0,0x00
SPI,result,2.60571132,9.60E-07,0x00
SPI,result,2.6057128,0,0x00
SPI,result,2.6057152,9.60E-07,0x00
SPI,result,2.60571668,0,0x00
SPI,result,2.60571904,0,0x00
SPI,result,2.60572056,0,0x00
SPI,result,2.60572292,0,0x00
SPI,result,2.60572444,9.60E-07,0x00
SPI,result,2.6057268,0,0x00
SPI,result,2.60572832,9.60E-07,0x00
SPI,result,2.60573068,0,0x00
SPI,result,2.6057322,9.60E-07,0x00
SPI,result,2.60573456,1.00E-06,0x00
SPI,result,2.60573608,9.60E-07,0x00
SPI,result,2.60573844,9.60E-07,0x00
SPI,result,2.60573992,0,0x00
SPI,result,2.60574232,9.60E-07,0x00
SPI,result,2.6057438,0,0x00
SPI,result,2.6057462,9.60E-07,0x00
SPI,result,2.60574768,0,0x00
SPI,result,2.60575008,9.60E-07,0x00
SPI,result,2.60575156,0,0x00
SPI,result,2.60575392,0,0x00
SPI,result,2.60575544,9.60E-07,0x00
SPI,result,2.6057578,1.00E-06,0x00
SPI,result,2.60575932,9.60E-07,0x00
SPI,result,2.60576168,0,0x00
SPI,result,2.6057632,9.60E-07,0x00
SPI,result,2.60576556,0,0x00
SPI,result,2.60576708,9.60E-07,0x00
SPI,result,2.60576944,0,0x00
SPI,result,2.60577092,0,0x00
SPI,result,2.60577332,9.60E-07,0x00
SPI,result,2.6057748,0,0x00
SPI,result,2.6057772,9.60E-07,0x00
SPI,result,2.60577868,0,0x00
SPI,result,2.60578108,9.60E-07,0x00
SPI,result,2.60578256,0,0x00
SPI,result,2.60578496,9.60E-07,0x00
SPI,result,2.60578644,0,0x00
SPI,result,2.6057888,0,0x00
SPI,result,2.60579032,9.60E-07,0x00
SPI,result,2.60579268,0,0x00
SPI,result,2.6057942,9.60E-07,0x00
SPI,result,2.60579656,0,0x00
SPI,result,2.60579808,9.60E-07,0x00
SPI,result,2.60580044,0,0x00
SPI,result,2.60580196,9.60E-07,0x00
SPI,result,2.60580432,0,0x00
SPI,result,2.6058058,0,0x00
SPI,result,2.6058082,9.60E-07,0x00
SPI,result,2.60580968,0,0x00
SPI,result,2.60581208,9.60E-07,0x00
SPI,result,2.60581356,0,0x00
SPI,result,2.60581596,9.60E-07,0x00
SPI,result,2.60581744,0,0x00
SPI,result,2.6058198,0,0x00
SPI,result,2.60582132,0,0x00
SPI,result,2.60582368,0,0x00
SPI,result,2.6058252,9.60E-07,0x00
SPI,result,2.60582756,0,0x00
SPI,result,2.60582908,9.60E-07,0x00
SPI,result,2.60583144,0,0x00
SPI,result,2.60583296,9.60E-07,0x00
SPI,result,2.60583532,0,0x00
SPI,result,2.60583684,9.60E-07,0x00
SPI,result,2.6058392,9.60E-07,0x00
SPI,result,2.60584068,0,0x00
SPI,result,2.60584308,9.60E-07,0x00
SPI,result,2.60584456,0,0x00
SPI,result,2.60584696,9.60E-07,0x00
SPI,result,2.60584844,0,0x00
SPI,result,2.60585084,9.60E-07,0x00
SPI,result,2.60585232,0,0x00
SPI,result,2.60585468,0,0x00
SPI,result,2.6058562,0,0x00
SPI,result,2.60585856,0,0x00
SPI,result,2.60586008,9.60E-07,0x00
SPI,result,2.60586244,1.00E-06,0x00
SPI,result,2.60586396,9.60E-07,0x00
SPI,result,2.60586632,0,0x00
SPI,result,2.60586784,9.60E-07,0x00
SPI,result,2.6058702,0,0x00
SPI,result,2.60587172,9.60E-07,0x00
SPI,result,2.60587408,9.60E-07,0x00
SPI,result,2.60587556,0,0x00
SPI,result,2.60587796,9.60E-07,0x00
SPI,result,2.60587944,0,0x00
SPI,result,2.60588184,9.60E-07,0x00
SPI,result,2.60588332,0,0x00
SPI,result,2.60588572,9.60E-07,0x00
SPI,result,2.6058872,0,0x00
SPI,result,2.60588956,0,0x00
SPI,result,2.60589108,1.00E-06,0x00
SPI,result,2.60589344,0,0x00
SPI,result,2.60589496,9.60E-07,0x00
SPI,result,2.60589732,0,0x00
SPI,result,2.60589884,9.60E-07,0x00
SPI,result,2.6059012,0,0x00
SPI,result,2.60590272,9.60E-07,0x00
SPI,result,2.60590508,0,0x00
SPI,result,2.60590656,0,0x00
SPI,result,2.60590896,9.60E-07,0x00
SPI,result,2.60591044,0,0x00
SPI,result,2.60591284,9.60E-07,0x00
SPI,result,2.60591432,1.00E-06,0x00
SPI,result,2.60591672,9.60E-07,0x00
SPI,result,2.6059182,0,0x00
SPI,result,2.6059206,9.60E-07,0x00
SPI,result,2.60592208,0,0x00
SPI,result,2.60592444,0,0x00
SPI,result,2.60592596,9.60E-07,0x00
SPI,result,2.60592832,0,0x00
SPI,result,2.60592984,9.60E-07,0x00
SPI,result,2.6059322,0,0x00
SPI,result,2.60593372,9.60E-07,0x00
SPI,result,2.60593608,1.00E-06,0x00
SPI,result,2.6059376,9.60E-07,0x00
SPI,result,2.60593996,0,0x00
SPI,result,2.60594144,0,0x00
SPI,result,2.60594384,9.60E-07,0x00
SPI,result,2.60594532,0,0x00
SPI,result,2.60594772,9.60E-07,0x00
SPI,result,2.6059492,0,0x00
SPI,result,2.6059516,9.60E-07,0x00
SPI,result,2.60595308,0,0x00
SPI,result,2.60595544,0,0x00
SPI,result,2.60595696,0,0x00
SPI,result,2.60595932,1.00E-06,0x00
SPI,result,2.60596084,9.60E-07,0x00
SPI,result,2.6059632,0,0x00
SPI,result,2.60596472,9.60E-07,0x00
SPI,result,2.60596708,0,0x00
SPI,result,2.6059686,9.60E-07,0x00
SPI,result,2.60597096,0,0x00
SPI,result,2.60597248,9.60E-07,0x00
SPI,result,2.60597484,9.60E-07,0x00
SPI,result,2.60597632,0,0x00
